name;price;info;link;Артикул;Код товара;Срок поставки;Размер светового пятна, мм;Аналоговый выход по току, мА;Комплектация;Материал линз;Питание;Температура эксплуатации
Оптический датчик расстояния Balluff BOD 66M-RB11-S92;Уточнить цену;"Артикул; BOD 66M-RB11-S92; Код товара; BOD001C; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_rb11_s92/;BOD 66M-RB11-S92;BOD001C;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 6K-RA02-02;Уточнить цену;"Артикул; BOD 6K-RA02-02; Код товара; BOD001M; Срок поставки; 4-6 недель; Размер светового пятна, мм; 5";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_6k_ra02_02/;BOD 6K-RA02-02;BOD001M;4-6 недель;5;;;;;
Оптический датчик расстояния Balluff BOD 6K-RA02-S75;Уточнить цену;"Артикул; BOD 6K-RA02-S75; Код товара; BOD001L; Срок поставки; 4-6 недель; Размер светового пятна, мм; 5";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_6k_ra02_s75/;BOD 6K-RA02-S75;BOD001L;4-6 недель;5;;;;;
Оптический датчик расстояния Balluff BOD 26K-LA01-C-06;Уточнить цену;"Артикул; BOD 26K-LA01-C-06; Код товара; BOD0001; Срок поставки; 4-6 недель; Размер светового пятна, мм; 0.8";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_la01_c_06/;BOD 26K-LA01-C-06;BOD0001;4-6 недель;0.8;;;;;
Оптический датчик расстояния Balluff BOD 37M-LA01-S92;Уточнить цену;"Артикул; BOD 37M-LA01-S92; Код товара; BOD001U; Срок поставки; 4-6 недель; Размер светового пятна, мм; 15";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_37m_la01_s92/;BOD 37M-LA01-S92;BOD001U;4-6 недель;15;;;;;
Оптический датчик расстояния Balluff BOD 63M-LB05-S115;Уточнить цену;"Артикул; BOD 63M-LB05-S115; Код товара; BOD0019; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_lb05_s115/;BOD 63M-LB05-S115;BOD0019;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LA02-C-06;Уточнить цену;"Артикул; BOD 26K-LA02-C-06; Код товара; BOD0003; Срок поставки; 4-6 недель; Размер светового пятна, мм; 0.8";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_la02_c_06/;BOD 26K-LA02-C-06;BOD0003;4-6 недель;0.8;;;;;
Оптический датчик расстояния Balluff BOD 63M-LA03-S115;Уточнить цену;"Артикул; BOD 63M-LA03-S115; Код товара; BOD0017; Срок поставки; 4-6 недель; Размер светового пятна, мм; 9";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_la03_s115/;BOD 63M-LA03-S115;BOD0017;4-6 недель;9;;;;;
Оптический датчик расстояния Balluff BOD 63M-LA05-S115;Уточнить цену;"Артикул; BOD 63M-LA05-S115; Код товара; BOD000Y; Срок поставки; 4-6 недель; Размер светового пятна, мм; 10";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_la05_s115/;BOD 63M-LA05-S115;BOD000Y;4-6 недель;10;;;;;
Оптический датчик расстояния Balluff BOD 6K-RA04-S75;Уточнить цену;"Артикул; BOD 6K-RA04-S75; Код товара; BOD001Z; Срок поставки; 4-6 недель; Размер светового пятна, мм; 5";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_6k_ra04_s75/;BOD 6K-RA04-S75;BOD001Z;4-6 недель;5;;;;;
Оптический датчик расстояния Balluff BOD 63M-LB03-S115;Уточнить цену;"Артикул; BOD 63M-LB03-S115; Код товара; BOD0018; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_lb03_s115/;BOD 63M-LB03-S115;BOD0018;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 6K-RA03-02;Уточнить цену;"Артикул; BOD 6K-RA03-02; Код товара; BOD001T; Срок поставки; 4-6 недель; Размер светового пятна, мм; 9.5";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_6k_ra03_02/;BOD 6K-RA03-02;BOD001T;4-6 недель;09.май;;;;;
Оптический датчик расстояния Balluff BOD 21M-LBI05-S4;Уточнить цену;"Артикул; BOD 21M-LBI05-S4; Код товара; BOD002L; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_lbi05_s4/;BOD 21M-LBI05-S4;BOD002L;4-6 недель;;4…20;;;;
Оптические датчики расстояния Balluff BOD 66M;Уточнить цену;"Код товара; Balluff BOD 66M; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Материал линз; стекло; Питание; DC";https://balluff-rus.ru/catalog/opticheskie_datchiki_rasstoyaniya_na_diapazon_do_2000mm/opticheskie_datchiki_rasstoyaniya_balluff_bod_66m/;;Balluff BOD 66M;;;;В комплектацию не входят: ответные разъемы для подключения в систему;стекло;DC;
Оптические датчики расстояния Balluff BOD 63M;Уточнить цену;"Код товара; Balluff BOD 63M; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Материал линз; стекло; Питание; DC";https://balluff-rus.ru/catalog/opticheskie_datchiki_rasstoyaniya_na_diapazon_do_6000mm/opticheskie_datchiki_rasstoyaniya_balluff_bod_63m/;;Balluff BOD 63M;;;;В комплектацию не входят: ответные разъемы для подключения в систему;стекло;DC;
Оптические датчики расстояния Balluff BOD 26K;Уточнить цену;"Код товара; Balluff BOD 26K; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Температура эксплуатации";https://balluff-rus.ru/catalog/opticheskie_datchiki_rasstoyaniya_na_diapazon_do_500mm/opticheskie_datchiki_rasstoyaniya_balluff_bod_26k/;;Balluff BOD 26K;;;;В комплектацию не входят: ответные разъемы для подключения в систему;;DC;
Оптические датчики расстояния Balluff BOD 18KF;Уточнить цену;"Код товара; Balluff BOD 18KF; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Температура эксплуатации; -15.. 55 °C";https://balluff-rus.ru/catalog/opticheskie_datchiki_rasstoyaniya_na_diapazon_do_500mm/opticheskie_datchiki_rasstoyaniya_balluff_bod_18kf/;;Balluff BOD 18KF;;;;В комплектацию не входят: ответные разъемы для подключения в систему;;DC;-15.. 55 °C
Оптические датчики расстояния Balluff BOD 6K;Уточнить цену;"Код товара; Balluff BOD 6K; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Температура эксплуатации; -20.. 60 °C";https://balluff-rus.ru/catalog/opticheskie_datchiki_rasstoyaniya_na_diapazon_do_500mm/opticheskie_datchiki_rasstoyaniya_balluff_bod_6k/;;Balluff BOD 6K;;;;В комплектацию не входят: ответные разъемы для подключения в систему;;DC;-20.. 60 °C
