name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS M30BBI2-PSC15D-S04K;Уточнить цену;"Артикул; BCS M30BBI2-PSC15D-S04K; Код товара; BCS00NA; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi2_psc15d_s04k/;BCS00NA;;;;BCS M30BBI2-PSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBM2-PPM20C-S04G;Уточнить цену;"Артикул; BCS M30BBM2-PPM20C-S04G; Код товара; BCS004M; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbm2_ppm20c_s04g/;BCS004M;;;;BCS M30BBM2-PPM20C-S04G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBM3-PPC20C-EP02;Уточнить цену;"Артикул; BCS M30BBM3-PPC20C-EP02; Код товара; BCS004K; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbm3_ppc20c_ep02/;BCS004K;;;;BCS M30BBM3-PPC20C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22T403-PSM60C-EP02;Уточнить цену;"Артикул; BCS D22T403-PSM60C-EP02; Код товара; BCS003H; Срок поставки; 4-6 недель; Длина датчика, мм; 4";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22t403_psm60c_ep02/;BCS003H;;;;BCS D22T403-PSM60C-EP02;4-6 недель;4;;;
Емкостной датчик Balluff BCS M08T4E1-NSM15C-EP02;Уточнить цену;"Артикул; BCS M08T4E1-NSM15C-EP02; Код товара; BCS0028; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_nsm15c_ep02/;BCS0028;;;;BCS M08T4E1-NSM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E1-POM15C-EP02;Уточнить цену;"Артикул; BCS M08T4E1-POM15C-EP02; Код товара; BCS0027; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_pom15c_ep02/;BCS0027;;;;BCS M08T4E1-POM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-POC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-POC40D-S04K; Код товара; BCS00P1; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_poc40d_s04k/;BCS00P1;;;;BCS M12B4G2-POC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-PSC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-PSC40D-S04K; Код товара; BCS00P0; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_psc40d_s04k/;BCS00P0;;;;BCS M12B4G2-PSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4I1-PSC40D-EP00,3-GS04;Уточнить цену;"Артикул; BCS M12B4I1-PSC40D-EP00,3-GS04; Код товара; BCS00WW; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4i1_psc40d_ep00_3_gs04/;BCS00WW;;;;BCS M12B4I1-PSC40D-EP00,3-GS04;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-NSC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-NSC40D-EP02; Код товара; BCS00PY; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_nsc40d_ep02/;BCS00PY;;;;BCS M12BBI1-NSC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-PSC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-PSC40D-EP02; Код товара; BCS00PU; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_psc40d_ep02/;BCS00PU;;;;BCS M12BBI1-PSC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4D2-POM40C-S04G;Уточнить цену;"Артикул; BCS M12T4D2-POM40C-S04G; Код товара; BCS0038; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4d2_pom40c_s04g/;BCS0038;;;;BCS M12T4D2-POM40C-S04G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4I3-POC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-POC80D-S04K; Код товара; BCS00M4; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_poc80d_s04k/;BCS00M4;;;;BCS M18B4I3-POC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4N1-POC80D-EP02;Уточнить цену;"Артикул; BCS M18B4N1-POC80D-EP02; Код товара; BCS00LR; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4n1_poc80d_ep02/;BCS00LR;;;;BCS M18B4N1-POC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I1-PSC15D-EP02;Уточнить цену;"Артикул; BCS M30B4I1-PSC15D-EP02; Код товара; BCS00N2; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i1_psc15d_ep02/;BCS00N2;;;;BCS M30B4I1-PSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
