name;price;info;link;Код товара;Комплектация;Питание;Температура эксплуатации;Артикул;Срок поставки;Аналоговый выход по напряжению, В;Аналоговый выход по току, мА
Индуктивный датчик расстояния Balluff BAW M18ME-UAC48B-BP01,5-GS04;Уточнить цену;"Артикул; BAW M18ME-UAC48B-BP01,5-GS04; Код товара; BAW001Y; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac48b_bp01_5_gs04/;BAW001Y;;;;BAW M18ME-UAC48B-BP01,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP01,5-GS04;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP01,5-GS04; Код товара; BAW0021; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp01_5_gs04/;BAW0021;;;;BAW M18ME-UAC50B-BP01,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP05;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP05; Код товара; BAW0023; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp05/;BAW0023;;;;BAW M18ME-UAC50B-BP05;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18MG-UAC80F-S04G;Уточнить цену;"Артикул; BAW M18MG-UAC80F-S04G; Код товара; BAW002C; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mg_uac80f_s04g/;BAW002C;;;;BAW M18MG-UAC80F-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18MI2-UAC50B-BP05-002;Уточнить цену;"Артикул; BAW M18MI2-UAC50B-BP05-002; Код товара; BAW002M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi2_uac50b_bp05_002/;BAW002M;;;;BAW M18MI2-UAC50B-BP05-002;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M30ME-UAC15F-S04G;Уточнить цену;"Артикул; BAW M30ME-UAC15F-S04G; Код товара; BAW002Y; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m30me_uac15f_s04g/;BAW002Y;;;;BAW M30ME-UAC15F-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP00,3-GS26;Уточнить цену;"Артикул; BAW R03KC-UAE40B-BP00,3-GS26; Код товара; BAW0030; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp00_3_gs26/;BAW0030;;;;BAW R03KC-UAE40B-BP00,3-GS26;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW Z01AC-UAD50B-DP03-K;Уточнить цену;"Артикул; BAW Z01AC-UAD50B-DP03-K; Код товара; BAW003E; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z01ac_uad50b_dp03_k/;BAW003E;;;;BAW Z01AC-UAD50B-DP03-K;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP00,5-GS04;Уточнить цену;"Артикул; BAW M08EI-UAD15B-BP00,5-GS04; Код товара; BAW000P; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp00_5_gs04/;BAW000P;;;;BAW M08EI-UAD15B-BP00,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP03;Уточнить цену;"Артикул; BAW M08EI-UAD15B-BP03; Код товара; BAW000T; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp03/;BAW000T;;;;BAW M08EI-UAD15B-BP03;4-6 недель;0...10;
